id.orig_h,window_start,window_end,attack_phase_nunique,is_attack_count,is_attack_ratio,is_attack_any,is_attack_majority,is_attack
172.18.0.1,1767541004.434642,1767541019.434642,2,5,1.0,1,1,1
172.18.0.1,1767541009.434642,1767541024.434642,2,7,1.0,1,1,1
172.18.0.1,1767541014.434642,1767541029.434642,2,7,1.0,1,1,1
172.18.0.1,1767541019.434642,1767541034.434642,1,2,1.0,1,1,1
172.18.0.1,1767541719.434642,1767541734.434642,2,7,1.0,1,1,1
172.18.0.1,1767541724.434642,1767541739.434642,2,7,1.0,1,1,1
172.18.0.1,1767541729.434642,1767541744.434642,2,7,1.0,1,1,1
172.18.0.1,1767543114.434642,1767543129.434642,2,7,1.0,1,1,1
172.18.0.1,1767543119.434642,1767543134.434642,2,7,1.0,1,1,1
172.18.0.1,1767543124.434642,1767543139.434642,2,7,1.0,1,1,1
172.18.0.1,1767543724.434642,1767543739.434642,1,1,1.0,1,1,1
172.18.0.1,1767543729.434642,1767543744.434642,2,7,1.0,1,1,1
172.18.0.1,1767543734.434642,1767543749.434642,2,7,1.0,1,1,1
172.18.0.1,1767543739.434642,1767543754.434642,2,6,1.0,1,1,1
172.18.0.1,1767544544.434642,1767544559.434642,2,14,1.0,1,1,1
172.18.0.1,1767544549.434642,1767544564.434642,2,14,1.0,1,1,1
172.18.0.1,1767544554.434642,1767544569.434642,2,14,1.0,1,1,1
172.18.0.1,1767545804.434642,1767545819.434642,1,1,1.0,1,1,1
172.18.0.1,1767545809.434642,1767545824.434642,2,7,1.0,1,1,1
172.18.0.1,1767545814.434642,1767545829.434642,2,7,1.0,1,1,1
172.18.0.1,1767545819.434642,1767545834.434642,2,6,1.0,1,1,1
172.18.0.1,1767547434.434642,1767547449.434642,1,3,1.0,1,1,1
172.18.0.1,1767547439.434642,1767547454.434642,2,7,1.0,1,1,1
172.18.0.1,1767547444.434642,1767547459.434642,2,7,1.0,1,1,1
172.18.0.1,1767547449.434642,1767547464.434642,1,4,1.0,1,1,1
172.18.0.1,1767548369.434642,1767548384.434642,1,1,1.0,1,1,1
172.18.0.1,1767548374.434642,1767548389.434642,2,7,1.0,1,1,1
172.18.0.1,1767548379.434642,1767548394.434642,2,7,1.0,1,1,1
172.18.0.1,1767548384.434642,1767548399.434642,2,6,1.0,1,1,1
172.18.0.1,1767549699.434642,1767549714.434642,2,14,1.0,1,1,1
172.18.0.1,1767549704.434642,1767549719.434642,2,14,1.0,1,1,1
172.18.0.1,1767549709.434642,1767549724.434642,2,14,1.0,1,1,1
172.18.0.1,1767550689.434642,1767550704.434642,2,7,1.0,1,1,1
172.18.0.1,1767550694.434642,1767550709.434642,2,7,1.0,1,1,1
172.18.0.1,1767550699.434642,1767550714.434642,2,7,1.0,1,1,1
172.18.0.1,1767551429.434642,1767551444.434642,1,7,1.0,1,1,1
172.18.0.1,1767551434.434642,1767551449.434642,1,7,1.0,1,1,1
172.18.0.1,1767551439.434642,1767551454.434642,1,7,1.0,1,1,1
172.18.0.1,1767553189.434642,1767553204.434642,2,7,1.0,1,1,1
172.18.0.1,1767553194.434642,1767553209.434642,2,7,1.0,1,1,1
172.18.0.1,1767553199.434642,1767553214.434642,2,7,1.0,1,1,1
172.18.0.1,1767553984.434642,1767553999.434642,2,5,1.0,1,1,1
172.18.0.1,1767553989.434642,1767554004.434642,3,14,1.0,1,1,1
172.18.0.1,1767553994.434642,1767554009.434642,3,14,1.0,1,1,1
172.18.0.1,1767553999.434642,1767554014.434642,3,9,1.0,1,1,1
172.18.0.1,1767554934.434642,1767554949.434642,1,4,1.0,1,1,1
172.18.0.1,1767554939.434642,1767554954.434642,2,7,1.0,1,1,1
172.18.0.1,1767554944.434642,1767554959.434642,2,7,1.0,1,1,1
172.18.0.1,1767554949.434642,1767554964.434642,1,3,1.0,1,1,1
172.18.0.1,1767555829.434642,1767555844.434642,2,7,1.0,1,1,1
172.18.0.1,1767555834.434642,1767555849.434642,2,7,1.0,1,1,1
172.18.0.1,1767555839.434642,1767555854.434642,2,7,1.0,1,1,1
172.18.0.1,1767555994.434642,1767556009.434642,2,7,1.0,1,1,1
172.18.0.1,1767555999.434642,1767556014.434642,2,7,1.0,1,1,1
172.18.0.1,1767556004.434642,1767556019.434642,2,7,1.0,1,1,1
172.18.0.1,1767559549.434642,1767559564.434642,3,7,1.0,1,1,1
172.18.0.1,1767559554.434642,1767559569.434642,3,7,1.0,1,1,1
172.18.0.1,1767559559.434642,1767559574.434642,3,7,1.0,1,1,1
172.18.0.1,1767560424.434642,1767560439.434642,1,1,1.0,1,1,1
172.18.0.1,1767560429.434642,1767560444.434642,2,7,1.0,1,1,1
172.18.0.1,1767560434.434642,1767560449.434642,2,7,1.0,1,1,1
172.18.0.1,1767560439.434642,1767560454.434642,2,6,1.0,1,1,1
172.18.0.1,1767561374.434642,1767561389.434642,2,7,1.0,1,1,1
172.18.0.1,1767561379.434642,1767561394.434642,2,7,1.0,1,1,1
172.18.0.1,1767561384.434642,1767561399.434642,2,7,1.0,1,1,1
172.18.0.1,1767562394.434642,1767562409.434642,1,3,1.0,1,1,1
172.18.0.1,1767562399.434642,1767562414.434642,3,14,1.0,1,1,1
172.18.0.1,1767562404.434642,1767562419.434642,3,14,1.0,1,1,1
172.18.0.1,1767562409.434642,1767562424.434642,3,11,1.0,1,1,1
172.18.0.1,1767563229.434642,1767563244.434642,2,7,1.0,1,1,1
172.18.0.1,1767563234.434642,1767563249.434642,2,7,1.0,1,1,1
172.18.0.1,1767563239.434642,1767563254.434642,2,7,1.0,1,1,1
172.18.0.1,1767563929.434642,1767563944.434642,2,7,1.0,1,1,1
172.18.0.1,1767563934.434642,1767563949.434642,2,7,1.0,1,1,1
172.18.0.1,1767563939.434642,1767563954.434642,2,7,1.0,1,1,1
172.18.0.1,1767564669.434642,1767564684.434642,2,7,1.0,1,1,1
172.18.0.1,1767564674.434642,1767564689.434642,2,7,1.0,1,1,1
172.18.0.1,1767564679.434642,1767564694.434642,2,7,1.0,1,1,1
172.18.0.1,1767566799.434642,1767566814.434642,1,4,1.0,1,1,1
172.18.0.1,1767566804.434642,1767566819.434642,2,7,1.0,1,1,1
172.18.0.1,1767566809.434642,1767566824.434642,2,7,1.0,1,1,1
172.18.0.1,1767566814.434642,1767566829.434642,1,3,1.0,1,1,1
172.18.0.1,1767567589.434642,1767567604.434642,2,7,1.0,1,1,1
172.18.0.1,1767567594.434642,1767567609.434642,2,7,1.0,1,1,1
172.18.0.1,1767567599.434642,1767567614.434642,2,7,1.0,1,1,1
172.18.0.1,1767568774.434642,1767568789.434642,2,5,1.0,1,1,1
172.18.0.1,1767568779.434642,1767568794.434642,2,7,1.0,1,1,1
172.18.0.1,1767568784.434642,1767568799.434642,2,7,1.0,1,1,1
172.18.0.1,1767568789.434642,1767568804.434642,1,2,1.0,1,1,1
172.18.0.1,1767569809.434642,1767569824.434642,1,1,1.0,1,1,1
172.18.0.1,1767569814.434642,1767569829.434642,2,7,1.0,1,1,1
172.18.0.1,1767569819.434642,1767569834.434642,2,7,1.0,1,1,1
172.18.0.1,1767569824.434642,1767569839.434642,2,6,1.0,1,1,1
172.18.0.1,1767571189.434642,1767571204.434642,2,7,1.0,1,1,1
172.18.0.1,1767571194.434642,1767571209.434642,2,7,1.0,1,1,1
172.18.0.1,1767571199.434642,1767571214.434642,2,7,1.0,1,1,1
172.18.0.1,1767571974.434642,1767571989.434642,2,7,1.0,1,1,1
172.18.0.1,1767571979.434642,1767571994.434642,2,7,1.0,1,1,1
172.18.0.1,1767571984.434642,1767571999.434642,2,7,1.0,1,1,1
172.18.0.1,1767572889.434642,1767572904.434642,3,7,1.0,1,1,1
172.18.0.1,1767572894.434642,1767572909.434642,3,7,1.0,1,1,1
172.18.0.1,1767572899.434642,1767572914.434642,3,7,1.0,1,1,1
172.18.0.1,1767573984.434642,1767573999.434642,2,7,1.0,1,1,1
172.18.0.1,1767573989.434642,1767574004.434642,2,7,1.0,1,1,1
172.18.0.1,1767573994.434642,1767574009.434642,2,7,1.0,1,1,1
172.18.0.1,1767575034.434642,1767575049.434642,2,7,1.0,1,1,1
172.18.0.1,1767575039.434642,1767575054.434642,2,7,1.0,1,1,1
172.18.0.1,1767575044.434642,1767575059.434642,2,7,1.0,1,1,1
172.18.0.1,1767575874.434642,1767575889.434642,2,7,1.0,1,1,1
172.18.0.1,1767575879.434642,1767575894.434642,2,7,1.0,1,1,1
172.18.0.1,1767575884.434642,1767575899.434642,2,7,1.0,1,1,1
172.18.0.1,1767576684.434642,1767576699.434642,1,3,1.0,1,1,1
172.18.0.1,1767576689.434642,1767576704.434642,2,7,1.0,1,1,1
172.18.0.1,1767576694.434642,1767576709.434642,2,7,1.0,1,1,1
172.18.0.1,1767576699.434642,1767576714.434642,2,4,1.0,1,1,1
172.18.0.1,1767577909.434642,1767577924.434642,1,2,1.0,1,1,1
172.18.0.1,1767577914.434642,1767577929.434642,2,7,1.0,1,1,1
172.18.0.1,1767577919.434642,1767577934.434642,2,7,1.0,1,1,1
172.18.0.1,1767577924.434642,1767577939.434642,2,5,1.0,1,1,1
172.18.0.1,1767578759.434642,1767578774.434642,2,7,1.0,1,1,1
172.18.0.1,1767578764.434642,1767578779.434642,2,7,1.0,1,1,1
172.18.0.1,1767578769.434642,1767578784.434642,2,7,1.0,1,1,1
172.18.0.1,1767579709.434642,1767579724.434642,2,5,1.0,1,1,1
172.18.0.1,1767579714.434642,1767579729.434642,2,7,1.0,1,1,1
172.18.0.1,1767579719.434642,1767579734.434642,2,7,1.0,1,1,1
172.18.0.1,1767579724.434642,1767579739.434642,1,2,1.0,1,1,1
172.18.0.1,1767580669.434642,1767580684.434642,1,3,1.0,1,1,1
172.18.0.1,1767580674.434642,1767580689.434642,2,7,1.0,1,1,1
172.18.0.1,1767580679.434642,1767580694.434642,2,7,1.0,1,1,1
172.18.0.1,1767580684.434642,1767580699.434642,1,4,1.0,1,1,1
172.18.0.1,1767581874.434642,1767581889.434642,1,3,1.0,1,1,1
172.18.0.1,1767581879.434642,1767581894.434642,2,7,1.0,1,1,1
172.18.0.1,1767581884.434642,1767581899.434642,2,7,1.0,1,1,1
172.18.0.1,1767581889.434642,1767581904.434642,2,4,1.0,1,1,1
172.18.0.1,1767582979.434642,1767582994.434642,1,2,1.0,1,1,1
172.18.0.1,1767582984.434642,1767582999.434642,2,7,1.0,1,1,1
172.18.0.1,1767582989.434642,1767583004.434642,2,7,1.0,1,1,1
172.18.0.1,1767582994.434642,1767583009.434642,2,5,1.0,1,1,1
172.18.0.1,1767583889.434642,1767583904.434642,2,4,1.0,1,1,1
172.18.0.1,1767583894.434642,1767583909.434642,2,7,1.0,1,1,1
172.18.0.1,1767583899.434642,1767583914.434642,2,7,1.0,1,1,1
172.18.0.1,1767583904.434642,1767583919.434642,1,3,1.0,1,1,1
172.18.0.1,1767584764.434642,1767584779.434642,2,4,1.0,1,1,1
172.18.0.1,1767584769.434642,1767584784.434642,2,7,1.0,1,1,1
172.18.0.1,1767584774.434642,1767584789.434642,2,7,1.0,1,1,1
172.18.0.1,1767584779.434642,1767584794.434642,1,3,1.0,1,1,1
172.18.0.1,1767585634.434642,1767585649.434642,3,12,1.0,1,1,1
172.18.0.1,1767585639.434642,1767585654.434642,3,14,1.0,1,1,1
172.18.0.1,1767585644.434642,1767585659.434642,3,14,1.0,1,1,1
172.18.0.1,1767585649.434642,1767585664.434642,1,2,1.0,1,1,1
172.18.0.1,1767586899.434642,1767586914.434642,2,7,1.0,1,1,1
172.18.0.1,1767586904.434642,1767586919.434642,2,7,1.0,1,1,1
172.18.0.1,1767586909.434642,1767586924.434642,2,7,1.0,1,1,1
172.18.0.1,1767588239.434642,1767588254.434642,2,7,1.0,1,1,1
172.18.0.1,1767588244.434642,1767588259.434642,2,7,1.0,1,1,1
172.18.0.1,1767588249.434642,1767588264.434642,2,7,1.0,1,1,1
172.18.0.1,1767588779.434642,1767588794.434642,2,7,1.0,1,1,1
172.18.0.1,1767588784.434642,1767588799.434642,2,7,1.0,1,1,1
172.18.0.1,1767588789.434642,1767588804.434642,2,7,1.0,1,1,1
172.18.0.1,1767589609.434642,1767589624.434642,2,7,1.0,1,1,1
172.18.0.1,1767589614.434642,1767589629.434642,2,7,1.0,1,1,1
172.18.0.1,1767589619.434642,1767589634.434642,2,7,1.0,1,1,1
172.18.0.1,1767590809.434642,1767590824.434642,2,7,1.0,1,1,1
172.18.0.1,1767590814.434642,1767590829.434642,2,7,1.0,1,1,1
172.18.0.1,1767590819.434642,1767590834.434642,2,7,1.0,1,1,1
172.18.0.1,1767592594.434642,1767592609.434642,1,4,1.0,1,1,1
172.18.0.1,1767592599.434642,1767592614.434642,2,7,1.0,1,1,1
172.18.0.1,1767592604.434642,1767592619.434642,2,7,1.0,1,1,1
172.18.0.1,1767592609.434642,1767592624.434642,1,3,1.0,1,1,1
172.18.0.1,1767593479.434642,1767593494.434642,2,7,1.0,1,1,1
172.18.0.1,1767593484.434642,1767593499.434642,2,7,1.0,1,1,1
172.18.0.1,1767593489.434642,1767593504.434642,2,7,1.0,1,1,1
172.18.0.1,1767594639.434642,1767594654.434642,2,7,1.0,1,1,1
172.18.0.1,1767594644.434642,1767594659.434642,2,7,1.0,1,1,1
172.18.0.1,1767594649.434642,1767594664.434642,2,7,1.0,1,1,1
172.18.0.1,1767595519.434642,1767595534.434642,2,7,1.0,1,1,1
172.18.0.1,1767595524.434642,1767595539.434642,2,7,1.0,1,1,1
172.18.0.1,1767595529.434642,1767595544.434642,2,7,1.0,1,1,1
172.18.0.1,1767596609.434642,1767596624.434642,2,7,1.0,1,1,1
172.18.0.1,1767596614.434642,1767596629.434642,2,7,1.0,1,1,1
172.18.0.1,1767596619.434642,1767596634.434642,2,7,1.0,1,1,1
172.18.0.1,1767597434.434642,1767597449.434642,3,7,1.0,1,1,1
172.18.0.1,1767597439.434642,1767597454.434642,3,7,1.0,1,1,1
172.18.0.1,1767597444.434642,1767597459.434642,3,7,1.0,1,1,1
172.18.0.1,1767598174.434642,1767598189.434642,2,7,1.0,1,1,1
172.18.0.1,1767598179.434642,1767598194.434642,2,7,1.0,1,1,1
172.18.0.1,1767598184.434642,1767598199.434642,2,7,1.0,1,1,1
172.18.0.1,1767599679.434642,1767599694.434642,2,5,1.0,1,1,1
172.18.0.1,1767599684.434642,1767599699.434642,2,7,1.0,1,1,1
172.18.0.1,1767599689.434642,1767599704.434642,2,7,1.0,1,1,1
172.18.0.1,1767599694.434642,1767599709.434642,1,2,1.0,1,1,1
172.18.0.1,1767600559.434642,1767600574.434642,1,4,1.0,1,1,1
172.18.0.1,1767600564.434642,1767600579.434642,2,7,1.0,1,1,1
172.18.0.1,1767600569.434642,1767600584.434642,2,7,1.0,1,1,1
172.18.0.1,1767600574.434642,1767600589.434642,1,3,1.0,1,1,1
172.18.0.1,1767601549.434642,1767601564.434642,2,4,1.0,1,1,1
172.18.0.1,1767601554.434642,1767601569.434642,2,7,1.0,1,1,1
172.18.0.1,1767601559.434642,1767601574.434642,2,7,1.0,1,1,1
172.18.0.1,1767601564.434642,1767601579.434642,1,3,1.0,1,1,1
172.18.0.1,1767602954.434642,1767602969.434642,2,5,1.0,1,1,1
172.18.0.1,1767602959.434642,1767602974.434642,2,7,1.0,1,1,1
172.18.0.1,1767602964.434642,1767602979.434642,2,7,1.0,1,1,1
172.18.0.1,1767602969.434642,1767602984.434642,1,2,1.0,1,1,1
172.18.0.1,1767604004.434642,1767604019.434642,2,5,1.0,1,1,1
172.18.0.1,1767604009.434642,1767604024.434642,2,7,1.0,1,1,1
172.18.0.1,1767604014.434642,1767604029.434642,2,7,1.0,1,1,1
172.18.0.1,1767604019.434642,1767604034.434642,1,2,1.0,1,1,1
172.18.0.1,1767604859.434642,1767604874.434642,2,7,1.0,1,1,1
172.18.0.1,1767604864.434642,1767604879.434642,2,7,1.0,1,1,1
172.18.0.1,1767604869.434642,1767604884.434642,2,7,1.0,1,1,1
172.18.0.1,1767605769.434642,1767605784.434642,2,7,1.0,1,1,1
172.18.0.1,1767605774.434642,1767605789.434642,2,7,1.0,1,1,1
172.18.0.1,1767605779.434642,1767605794.434642,2,7,1.0,1,1,1
172.18.0.1,1767607179.434642,1767607194.434642,2,7,1.0,1,1,1
172.18.0.1,1767607184.434642,1767607199.434642,2,7,1.0,1,1,1
172.18.0.1,1767607189.434642,1767607204.434642,2,7,1.0,1,1,1
172.18.0.1,1767608244.434642,1767608259.434642,2,7,1.0,1,1,1
172.18.0.1,1767608249.434642,1767608264.434642,2,7,1.0,1,1,1
172.18.0.1,1767608254.434642,1767608269.434642,2,7,1.0,1,1,1
172.18.0.1,1767609324.434642,1767609339.434642,3,7,1.0,1,1,1
172.18.0.1,1767609329.434642,1767609344.434642,3,7,1.0,1,1,1
172.18.0.1,1767609334.434642,1767609349.434642,3,7,1.0,1,1,1
172.18.0.1,1767610339.434642,1767610354.434642,2,7,1.0,1,1,1
172.18.0.1,1767610344.434642,1767610359.434642,2,7,1.0,1,1,1
172.18.0.1,1767610349.434642,1767610364.434642,2,7,1.0,1,1,1
172.18.0.1,1767611259.434642,1767611274.434642,1,4,1.0,1,1,1
172.18.0.1,1767611264.434642,1767611279.434642,2,7,1.0,1,1,1
172.18.0.1,1767611269.434642,1767611284.434642,2,7,1.0,1,1,1
172.18.0.1,1767611274.434642,1767611289.434642,1,3,1.0,1,1,1
172.18.0.1,1767612019.434642,1767612034.434642,2,7,1.0,1,1,1
172.18.0.1,1767612024.434642,1767612039.434642,2,7,1.0,1,1,1
172.18.0.1,1767612029.434642,1767612044.434642,2,7,1.0,1,1,1
172.18.0.1,1767613234.434642,1767613249.434642,1,4,1.0,1,1,1
172.18.0.1,1767613239.434642,1767613254.434642,2,7,1.0,1,1,1
172.18.0.1,1767613244.434642,1767613259.434642,2,7,1.0,1,1,1
172.18.0.1,1767613249.434642,1767613264.434642,1,3,1.0,1,1,1
172.18.0.1,1767614384.434642,1767614399.434642,1,3,1.0,1,1,1
172.18.0.1,1767614389.434642,1767614404.434642,2,7,1.0,1,1,1
172.18.0.1,1767614394.434642,1767614409.434642,2,7,1.0,1,1,1
172.18.0.1,1767614399.434642,1767614414.434642,2,4,1.0,1,1,1
172.18.0.1,1767615124.434642,1767615139.434642,1,4,1.0,1,1,1
172.18.0.1,1767615129.434642,1767615144.434642,2,7,1.0,1,1,1
172.18.0.1,1767615134.434642,1767615149.434642,2,7,1.0,1,1,1
172.18.0.1,1767615139.434642,1767615154.434642,1,3,1.0,1,1,1
172.18.0.1,1767616429.434642,1767616444.434642,2,7,1.0,1,1,1
172.18.0.1,1767616434.434642,1767616449.434642,2,7,1.0,1,1,1
172.18.0.1,1767616439.434642,1767616454.434642,2,7,1.0,1,1,1
172.18.0.1,1767616974.434642,1767616989.434642,3,12,1.0,1,1,1
172.18.0.1,1767616979.434642,1767616994.434642,3,14,1.0,1,1,1
172.18.0.1,1767616984.434642,1767616999.434642,3,14,1.0,1,1,1
172.18.0.1,1767616989.434642,1767617004.434642,1,2,1.0,1,1,1
172.18.0.1,1767618409.434642,1767618424.434642,2,3,1.0,1,1,1
172.18.0.1,1767618414.434642,1767618429.434642,2,7,1.0,1,1,1
172.18.0.1,1767618419.434642,1767618434.434642,2,7,1.0,1,1,1
172.18.0.1,1767618424.434642,1767618439.434642,1,4,1.0,1,1,1
172.18.0.1,1767619014.434642,1767619029.434642,1,4,1.0,1,1,1
172.18.0.1,1767619019.434642,1767619034.434642,2,7,1.0,1,1,1
172.18.0.1,1767619024.434642,1767619039.434642,2,7,1.0,1,1,1
172.18.0.1,1767619029.434642,1767619044.434642,1,3,1.0,1,1,1
172.18.0.1,1767619044.434642,1767619059.434642,1,3,1.0,1,1,1
172.18.0.1,1767619049.434642,1767619064.434642,2,7,1.0,1,1,1
172.18.0.1,1767619054.434642,1767619069.434642,2,7,1.0,1,1,1
172.18.0.1,1767619059.434642,1767619074.434642,1,4,1.0,1,1,1
172.18.0.1,1767620299.434642,1767620314.434642,2,7,1.0,1,1,1
172.18.0.1,1767620304.434642,1767620319.434642,2,7,1.0,1,1,1
172.18.0.1,1767620309.434642,1767620324.434642,2,7,1.0,1,1,1
172.18.0.1,1767620919.434642,1767620934.434642,1,1,1.0,1,1,1
172.18.0.1,1767620924.434642,1767620939.434642,2,7,1.0,1,1,1
172.18.0.1,1767620929.434642,1767620944.434642,2,7,1.0,1,1,1
172.18.0.1,1767620934.434642,1767620949.434642,2,6,1.0,1,1,1
172.18.0.1,1767622224.434642,1767622239.434642,2,7,1.0,1,1,1
172.18.0.1,1767622229.434642,1767622244.434642,2,7,1.0,1,1,1
172.18.0.1,1767622234.434642,1767622249.434642,2,7,1.0,1,1,1
172.18.0.1,1767623359.434642,1767623374.434642,2,7,1.0,1,1,1
172.18.0.1,1767623364.434642,1767623379.434642,2,7,1.0,1,1,1
172.18.0.1,1767623369.434642,1767623384.434642,2,7,1.0,1,1,1
172.18.0.1,1767623974.434642,1767623989.434642,2,5,1.0,1,1,1
172.18.0.1,1767623979.434642,1767623994.434642,2,7,1.0,1,1,1
172.18.0.1,1767623984.434642,1767623999.434642,2,7,1.0,1,1,1
172.18.0.1,1767623989.434642,1767624004.434642,1,2,1.0,1,1,1
172.18.0.1,1767627034.434642,1767627049.434642,2,7,1.0,1,1,1
172.18.0.1,1767627039.434642,1767627054.434642,2,7,1.0,1,1,1
172.18.0.1,1767627044.434642,1767627059.434642,2,7,1.0,1,1,1
172.18.0.1,1767627784.434642,1767627799.434642,2,7,1.0,1,1,1
172.18.0.1,1767627789.434642,1767627804.434642,2,7,1.0,1,1,1
172.18.0.1,1767627794.434642,1767627809.434642,2,7,1.0,1,1,1
172.18.0.1,1767628914.434642,1767628929.434642,2,7,1.0,1,1,1
172.18.0.1,1767628919.434642,1767628934.434642,2,7,1.0,1,1,1
172.18.0.1,1767628924.434642,1767628939.434642,2,7,1.0,1,1,1
172.18.0.1,1767629624.434642,1767629639.434642,2,7,1.0,1,1,1
172.18.0.1,1767629629.434642,1767629644.434642,2,7,1.0,1,1,1
172.18.0.1,1767629634.434642,1767629649.434642,2,7,1.0,1,1,1
172.18.0.10,1767522084.1813068,1767522099.1813068,1,0,0.0,0,0,0
172.18.0.10,1767522254.1813068,1767522269.1813068,1,0,0.0,0,0,0
172.18.0.10,1767522259.1813068,1767522274.1813068,1,0,0.0,0,0,0
172.18.0.10,1767522264.1813068,1767522279.1813068,1,0,0.0,0,0,0
172.18.0.10,1767522434.1813068,1767522449.1813068,1,0,0.0,0,0,0
172.18.0.10,1767522439.1813068,1767522454.1813068,1,0,0.0,0,0,0
172.18.0.10,1767522444.1813068,1767522459.1813068,1,0,0.0,0,0,0
172.18.0.10,1767522549.1813068,1767522564.1813068,1,0,0.0,0,0,0
172.18.0.10,1767522554.1813068,1767522569.1813068,1,0,0.0,0,0,0
172.18.0.10,1767522559.1813068,1767522574.1813068,1,0,0.0,0,0,0
172.18.0.10,1767522734.1813068,1767522749.1813068,1,0,0.0,0,0,0
172.18.0.10,1767522739.1813068,1767522754.1813068,1,0,0.0,0,0,0
172.18.0.10,1767522744.1813068,1767522759.1813068,1,0,0.0,0,0,0
172.18.0.10,1767522809.1813068,1767522824.1813068,1,0,0.0,0,0,0
172.18.0.10,1767522814.1813068,1767522829.1813068,1,0,0.0,0,0,0
172.18.0.10,1767522819.1813068,1767522834.1813068,1,0,0.0,0,0,0
172.18.0.10,1767523074.1813068,1767523089.1813068,1,0,0.0,0,0,0
172.18.0.10,1767523079.1813068,1767523094.1813068,1,0,0.0,0,0,0
